EventId,Ticker,Date Made Public,Name,Entity,Type,Location,", ",Total Records,Other,Event Discription,Source,Attached Files,,All Terms,CompanyId,Year,ContentText,GID
694,AMZN,9/29/17,Whole Foods,HACK,BSR,"Austin, Texas",,0,,"""Whole Foods, which was recently acquired byÎľAmazon, suffered a data breach of credit card information used in taprooms and full table-service restaurants in some of the grocery chain's stores, the company said Thursday.Whole Foods noted these venues use a different point-of-sale system than the main checkout systems. Credit cards used at those systems were not affected, the company said.""",Media,https://www.cnbc.com/2017/09/28/whole-foods-suffers-data-breach-in-some-stores.html,,,,,,
693,SONC,9/26/17,Sonic Drive-In,HACK,BSO,"Oklahoma City, Oklahoma",,0,,"""Sonic Drive-In, a fast-food chain with nearly 3,600 locations across 45 U.S. states, has acknowledged a breach affecting an unknown number of store payment systems. The ongoing breach may have led to a fire sale on millions of stolen credit and debit card accounts that are now being peddled in shadowy underground cybercrime stores, KrebsOnSecurity has learned.The first hints of a breach at Oklahoma City-based Sonic came last week when I began hearing from sources at multiple financial institutions who noticed a recent pattern of fraudulent transactions on cards that had all previously been used at Sonic.""",Krebs On Security,https://krebsonsecurity.com/2017/09/breach-at-sonic-drive-in-may-have-impacted-millions-of-credit-debit-cards/,,,,,,
692,VIAB,9/20/17,Viacom,DISC,BSO,"Los Angeles, California",,0,,"""A mishandling of Viacom's master AWS key has left the credentials of hundreds of digital properties, including Comedy Central, Paramount, MTV and other entertainment companies, exposed.On Aug. 30, 2017 UpGuard Director of Cyber Risk Research Chris Vickery spotted a publicly downloadable Amazon Web Services S3 cloud storage bucket containing what appeared to be nothing less than either the primary or backup configuration of Viacom's IT infrastructure.The servers contained the passwords and manifests for Viacom's servers as well as data needed to maintain and expand the IT infrastructure in addition to the access key and secret key for the corporations AWS account, according to a Sept. 19 blog post.""",Media,https://www.scmagazine.com/viacom-exposes-paramount-pictures-comedy-central-mtv-and-hundreds-more-in-aws-leak/article/690117/,,,,,,
691,ABB,9/11/17,ABB Inc.,HACK,BSO,,,0,,"""What happened?ABB, Inc. (Š—“ABBŠ—ť), received notice on August 25, 2017, that an employeeŠ—Čs email account had suspicious login activity as the result of a hacker sending a phishing scheme email to ABB employees on or around August 25, 2017. ABB conducted a full assessment to determine the scope of the data loss and identify any potentially affected individuals.What information was involved?The compromised email account(s) may have stored your personal information, including your name, address social security number and medical record(s) used in ABB Employee Benefits, FMLA, and in some instances direct deposit information for a few number of hourly staff located in one selected location. If your spouse and/or childrenŠ—Čs information was potentially affected, they will receive a separate notification letter.""",California Attorney General,https://oag.ca.gov/ecrime/databreach/reports/sb24-101735,,,,,,
690,EFX,9/7/17,Equifax Corporation,HACK,BSF,"Atlanta, Georgia",,"145,500,000",,"""Equifax, which supplies credit information and other information services, said Thursday that a data breach could have potentially affected 143 million consumers in the United States.Equifax said it discovered the breach on July 29. ""Criminals exploited a U.S. website application vulnerability to gain access to certain files,"" the company said.""Equifax said exposed data includes names, birth dates, Social Security numbers, addresses and some driver's license numbers, all of which the company aims to protect for its customers.The company added that 209,000 U.S. credit card numbers were obtained, in addition to ""certain dispute documents with personal identifying information for approximately 182,000 U.S. consumers.""Link to Equifax breach notification: https://www.equifaxsecurity2017.com/ UPDATE: (10/02/2017): ""Equifax said hackers may have stolen the personal information of 2.5 million more U.S. consumers than it initially estimated, bringing the total to 145.5 million.The company said the additional customersÎľ were not victims of a new attack but rather victims who the company had not counted before.ÎľEquifax hired the forensic security firm Mandiant to investigate the breach, and it finished its report on Sunday.""https://www.usatoday.com/story/tech/2017/10/02/equifax-breach-hit-2-5-mi...",Media,https://www.cnbc.com/2017/09/07/credit-reporting-firm-equifax-says-cybersecurity-incident-could-potentially-affect-143-million-us-consumers.html,,,,,,
689,BSFT,9/5/17,BroadSoft,DISC,BSO,"Gaithersburg, Maryland",,"4,000,000",,"""Time Warner Cable, now known as Spectrum, became the latest company to realize exactly how vulnerable its data is when a third-party vendor entrusted with its safety made an error exposing millions of records.Kromtech Security Center researchers discovered late last week that about four million Time Warner customer records were exposed when it found two cloud-based AWS S3 buckets, connected to software and service provider BroadSoft, open to the public. The information compromised spanned the period from November 10, 2010 to July 7, 2017, and included transaction numbers, MAC numbers, user names, account numbers types of service purchased along with internal development information like SQL database dumps and code with login credentials, Kromtech said.""",Media,https://www.scmagazine.com/data-breach-exposes-about-4-million-time-warner-customer-records/article/686592/,,,,,,
695,MDB,9/5/17,MongoDB,HACK,BSO,"New York, New York",,"26,000",,"Three hacking groups are once again targeting MongoDB databases, hijacking 26,000 open servers and asking for a ransom to release the data, according to security researcherÎľVictor Gevers, chairman of the GDI Foundation.""One of the hacking groups hijacked 22,000. And all groups are demanding about $650 to restore the data.The initial attacks were first discovered by hackers in late 2016 and continued into early 2017. These attacks were simple for hackers to launch: They simply scanned the internet for MongoDB databases left open to external content, wiped the content and replaced data with a ransom demand.""",Media,http://www.healthcareitnews.com/news/hackers-are-ransoming-26000-unsecured-mongodb-databases-security-researchers-find,,,,,,
688,FB,8/30/17,Instagram,HACK,BSO,"Meno Park, California",,0,,"""Instagram said at least one hacker was able to steal personal information from high-profile user accounts, blaming the breach on a bug in its system that has now been fixed.Îľ""We recently discovered that one or more individuals obtained unlawful access to a number of high-profile Instagram users' contactÎľ information - specifically email address and phone number - by exploiting a bug in an Instagram API,"" a rep said in a statement.""",Media,http://variety.com/2017/digital/news/instagram-hackers-obtained-users-email-addresses-phone-numbers-1202543339/,,,,,,
685,AET,8/24/17,Aetna,DISC,BSF,"Hartford, Connecticut",,0,,"""Two legal organizations say health insurer Aetna revealed the HIV status of patients in several states by mailing envelopes with a large, clear window that showed information on purchasing HIV prescriptions.The Legal Action Center and the AIDS Law Project of Pennsylvania say some patients' relatives and neighbors learned of their HIV status as a result.""",Media,http://www.nj.com/news/index.ssf/2017/08/aetna_revealed_hiv_status_of_patients_with_mailing.html,,,,,,
639,S,8/16/17,Virgin Mobile,HACK,BSO,"Warren, New Jersey",,0,,"""A privacy breach seems to be underway at Virgin Mobile. Customers attempting to access their voicemail messages are instead getting access to the voicemail messages of other people.When dialing the 212 number used by Virgin Mobile that allows access to your own voicemail box, Virgin Mobile customers are instead reporting that they are hearing strangers' voicemail messages, getting access to their voicemail account menus, or being directed to leave messages on a stranger's voicemail.Customers are already taking to social media to report the issue. One Facebook user, Alison, raised concerns with Virgin Mobile customer service. ""This is clearly a security issue when I'm reaching other customers, I assume they're customers, voicemail inboxes.""",Media,https://www.cnet.com/au/news/virgin-mobile-australia-voicemail-error-privacy/,,,,,,
683,PFMT,8/14/17,Performant Financial Corporation,HACK,BSF,"Cincinnati, Ohio",,0,,"""What Happened?By letter dated April 7, 2017, C&T informed Performant that after noticing unusual activity on its network, C&T had hired a specialist forensic information technology firm to investigate. As a result of that investigation it was determined that an unauthorized individual had accessed a C&T network drive between January 27, 2017, and February 2, 2017. C&T, however, could not determine whether any specific files were accessed.Îľ The network drive, unfortunately, contained the CompanyŠ—Čs 401K audit files for certain years.Upon receiving C&TŠ—Čs notification of a potential data breach, Performant undertook its own investigation to determine what specific information may have been compromised.Îľ Performant attempted multiple times to obtain specific answers and definitive records from C&T to accurately determine whose information may have been compromised. Performant also attempted to gain details regarding C&Ts incident notification procedure, including information about C&TŠ—Čs notification to employees of its clientŠ—Čs employees, such as PerformantŠ—Čs employees participating in the CompanyŠ—Čs 401K plan.Îľ On June 27, 2017, C&T, for the first time, provided Performant with access to the CompanyŠ—Čs specific files stored on the C&T network drive that was compromised.Îľ After receiving the files, Performant engaged in a detailed review to determine what, if any, personal information of its current or former employees was potentially compromised. The review revealed that your information may have been compromised by the incident at C&T.ÎľÎľÎľWhat Information Was Involved? Although C&T cannot determine whether or not PerformantŠ—Čs files were accessed by the unauthorized individual, the security incident may have involved your first name, last name, date of birth, and Social Security number, as a result of your participation in the CompanyŠ—Čs 401K plan in the years of 2010, 2011, and/or 2015.ÎľÎľ Please note that the data files related to this incident did not include other information about the 401K plan or information about your personal 401K, such as account access information or account balances."" Îľ",California Attorney General,https://oag.ca.gov/ecrime/databreach/reports/sb24-101052,,,,,,
678,WFC,7/31/17,Wells Fargo,DISC,BSF,"San Francisco, California",,"50,000",,"""When a lawyer for Gary Sinderbrand, a formerÎľWells FargoÎľemployee, subpoenaed the bank as part of a defamation lawsuit against a bank employee, he and Mr. Sinderbrand expected to receive a selection of emails and documents related to the case.But what landed in Mr. SinderbrandŠ—Čs hands on July 8 went far beyond what his lawyer had asked for: Wells Fargo had turned over Š—” by accident, according to the bankŠ—Čs lawyer Š—” a vast trove of confidential information about tens of thousands of the bankŠ—Čs wealthiest clients.The 1.4 gigabytes of files that Wells FargoŠ—Čs lawyer sent included copious spreadsheets with customersŠ—Č names and Social Security numbers, paired with financial details like the size of their investment portfolios and the fees the bank charged them. Most are customers of Wells Fargo Advisors, the arm of the bank that caters to high-net-worth investors.By Mr. SinderbrandŠ—Čs estimate, he has financial information for at least 50,000 individual customers. In all, Mr. Sinderbrand said, these clients have tens of billions of dollars invested through Wells Fargo, all laid out in vivid detail for him as part of the discovery process in his lawsuit.The files were handed over to Mr. Sinderbrand with no protective orders and no written confidentiality agreement in place between his lawyers and Wells FargoŠ—Čs. While the documents were not filed in court, it would be perfectly legal for Mr. Sinderbrand and his lawyer to release most of the material or include it in their legal filings, which would then become part of the public record.The documents were sent by Angela A. Turiano, a lawyer with Bressler, Amery & Ross, an outside law firm in Florham Park, N.J., hired by Wells Fargo, which is not a party to the suit. Mr. Sinderbrand and one of his lawyers, Aaron Zeisler, notified Ms. Turiano on Thursday morning about the sensitive documents now in their hands.""Îľ",Media,https://www.nytimes.com/2017/07/21/business/dealbook/wells-fargo-confidential-data-release.html,,,,,,
679,ANTM,7/31/17,Anthem,INSD,BSF,"Indianapolis, Indiana",,"18,500",,"""A data breach may have exposed personal health information of more than 18,000 Anthem Medicare enrollees, after one of the insurer's health care consulting firms discovered that one of its employees had been involved in identity theft.Anthem says it was contacted about the breach by the consulting firm LaunchPoint Ventures on June 14. LaunchPoint discovered two months earlier that one of its employees had been involved in involved in a case of identity theft, and further investigation discovered that the worker had ""emailed a file with information about Anthem companies' members to his personal email address,"" a year ago.In all, more than 18,500 Anthem Medicare members' Social Security and Medicare identification data may have been exposed. The health insurer reported the breach to the Department of Health and Human services on July 24, the same day LaunchPoint began notifying members, according to an Anthem spokeswoman.""Anthem post: https://www.anthem.com/blog/member-news/launchpoint-privacy-concern-impacts-medicare-members/",Media,https://www.cnbc.com/2017/07/31/new-anthem-data-breach-by-contractor-affects-more-than-18000-enrollees.html,,,,,,
681,TWX,7/31/17,HBO,HACK,BSO,"New York, New York",,0,,"""In an email sent to employees on Monday and shared with CNN Tech, chairman and CEO Richard Plepler said a cyber intrusion resulted in ""some stolen proprietary information, including some of our programming.""Îľ""Any intrusion of this nature is obviously disruptive, unsettling, and disturbing for all of us,"" Plepler said.It's unclear what information hackers stole and potentially leaked. According to Entertainment Weekly, which first reported the intrusion, hackers published one episode each of ""Ballers"" and ""Room 104,"" as well as the alleged script to next week's ""Game of Thrones.""",Media,http://money.cnn.com/2017/07/31/technology/business/hbo-hack-investigation-leak/index.html,,,,,,
680,ALK,7/26/17,Virgin America,HACK,BSO,"Burlingame, California",,0,,"""What Happened?On March 13, 2017, during security monitoring activities, our data security team identified potential unauthorized access to certain Virgin America computer systems. We immediately took steps to respond to the incident, including initiating our incident response protocol and taking measures to mitigate the impact to affected individuals. We retained cybersecurity forensic experts to investigate the incident and reported the matter to law enforcement. Nevertheless, it appears that a third party may have accessed information about certain Virgin America employees and contractors without authorization.What Information Was InvolvedThe unauthorized third party gained access to your login information and password that you use to access Virgin AmericaŠ—Čs corporate network.""",California Attorney General,https://oag.ca.gov/system/files/Notification%20Letter%20-%20California_0.pdf,,,,,,
682,COF,7/6/17,Spark Pay,HACK,BSO,"Melville, New York",,0,,"""WHAT HAPPENED.ÎľÎľWe discovered malicious code on [merchant website]. The code was designed to allow fraudsters to obtain customer payment information. We immediately began investigating the issue, analyzed [merchant website], removed the malicious code and performed security testing.Îľ ÎľWHAT INFORMATION WAS INVOLVED.ÎľÎľBased on our investigation, we believe the fraudster may have accessed your name, address, phone number, email address, payment card number, expiration date, and CVV for any transactions you made on [merchant website] between [variable dates between April 10, 2017 and June 7, 2017].""Îľ Îľ",California Attorney General,https://oag.ca.gov/system/files/SPOS%20-%20Consumer_Letter_0.pdf,,,,,,
677,DXC,7/5/17,DXC Technology,DISC,BSO,"Indianapolis, Indiana",,0,,"""Medicaid members may receive a letter about a possible data breach involving personal information.DXC Technology, the fiscal agent for the Indiana Health Coverage Program (IHCP), says an internet hyperlink containing patient information was accessible between February and May of this year, according to The Indy Channel.The information included patientŠ—Čs names, Medicaid ID numbers, names and addresses of healthcare providers, patient numbers, procedure codes, dates of service, and payment amounts.No financial information, social security numbers or patient addresses were released.The Family and Social Services Administration and DXC do not believe any patient information was stolen, but letters are being sent out as a precaution.If you were affected, you will be receiving a letter from the company responsible for maintaining the stateŠ—Čs Medicaid software, along with a year of free credit monitoring, according to 44 News.""",Media,https://www.wowo.com/possible-data-breach-medicaid-patients/,,,,,,
676,BKE,6/20/17,The Buckle Inc.,HACK,BSR,"Kearney, Nebraska",,0,,"""The Buckle Inc., an apparel retailer that operates more than 450 stores in 44 U.S. states, disclosed Friday that its retail locations were hit by malicious software designed to steal customer credit card data. The disclosure came hours after KrebsOnSecurity contacted the company regarding reports from sources in the financial sector about a possible breach at the retailer.ÎľThe Buckle released a statement saying that point-of-sale malware was found installed on cash registers at the companyŠ—Čs retail stores, and that it believes the malware was stealing customer credit card data between Oct. 28, 2016 and April 14, 2017.ÎľThe Buckle said purchases made on its online store were not affected.""",Media,http://www.mytotalretail.com/article/buckle-suffers-credit-card-breach/#.WUu_fLGIpLg.email,,,,,,
684,BBBY,6/19/17,Bed Bath & Beyond,HACK,BSO,"Union, New Jersey",,0,,"""Dear First Name,We detected recent irregular activity on our website that suggests that your Bed Bath & Beyond online account may have been compromised.No unauthorized use of any credit card information you may have stored in your account could have resulted from this activity.We have no reason to believe that any unauthorized activity or purchases occurred on your Bed Bath & Beyond online account.As a result of this incident, and for your protection out of an abundance of caution, we have locked your account and are requiring you to reset your password by doing the following:ÎľVisit https://www.bedbathandbeyond.com/store/account/Login or go to our website and click on the Login linkClick ""Reset Password?"" and follow the instructions""",California Attorney General,https://oag.ca.gov/ecrime/databreach/reports/sb24-97500,,,,,,
675,GME,6/2/17,Game Stop,HACK,BSO,"Grapevine, Texas",,0,,"""GameStop recently identified and addressed a security incident that may have involved your payment card information.Îľ We are providing this notice to inform you of the incident and to call your attention to some steps you can take to protect yourself.Îľ At GameStop, we value our customers and understand the importance of protecting customer personal information.Îľ We sincerely apologize for any inconvenience or concern this incident may cause.What HappenedAfter receiving a report that data from payment cards used on www.GameStop.com may have been obtained by unauthorized individuals, we immediately began and investigation and hired a leading cybersecurity firm to assist us.Îľ Although the investigation did not identify evidence of unauthorized access to payment card data, we determined on April 18, 2017 that the potential for that to have occurred existed for certain transactions.""Îľ",Security Breach Letter,,,,,,,
673,TWTR,5/19/17,Vine,DISC,BSO,"Stamford, Connecticut",,0,,"""Twitter is alerting Vine users of a bug that exposed their email addresses and, in some cases,Îľphone numbers to third parties. ItŠ—Čs also advising affected usersÎľto be cautious about any emails from unknown senders as a result. The company says the bug was only active for 24 hours before being patched, and doesnŠ—Čt believe that the data was misused in any way, at this time.To be clear, Twitter was not hacked nor is this considered a data breach Š—– instead, the email address or phone number the company had on file for some Vine users was only available under certain circumstances, the company says.The company declined to officially comment on the specifics of how the bug was discovered or how it mayÎľhave been seen by third parties, but we understand that this dataÎľwas not published on the Vine archive website where anyone on the public internet could have seen it. Instead, if anyone was to have seen the data at the time of exposure, they would have had to do so through a more technical means Š—– such as using an API to pull the information.Twitter is only alerting users out of a desire to be transparentÎľin disclosing the vulnerability, not because they believe that anyone actually captured the user data or misused it in any way.""",Media,https://techcrunch.com/2017/05/19/twitter-says-vine-users-emails-and-phone-numbers-were-exposed-for-a-day-but-werent-misused/,,,,,,
699,RAD,5/19/17,Rite Aid,HACK,BSR,"Camp Hill, Pennsylvania",,0,,"""Pharmacy chain Rite Aid has discovered unauthorized individuals gained access to the e-commerce platform of its online store and stole sensitive information of its customers over a period of 10 weeks. The attackers gained access to, and stole, personal information and credit/debit card details.An investigation into the breach revealed that access to the platform was first gained on January 30, 2017 and continued until April 11, 2017 when the intrusion was detected and unauthorized access was blocked.During the time that unauthorized individuals had access to its e-commerce platform they obtained customers names, addresses and payment card information including card numbers expiry dates and CVV numbers.Îľ The incident impacts all customers who used the online store between the above dates and manually entered their payment card details.""",Media,https://www.hipaajournal.com/rite-aid-announces-breach-online-store-8814/,,,,,,
674,SABR,5/17/17,Sabre Corporation,HACK,BSO,"Southlake, Texas",,0,,"""Breaches involving major players in the hospitality industry continue to pile up. Today, travel industry giant Sabre Corp. disclosed what could be a significant breach of payment and customer data tied to bookingsÎľprocessed through a reservations system that serves more than 32,000 hotels and other lodging establishments.In a quarterly filing with the U.S. Securities and Exchange Commission (SEC) today, Southlake, Texas-based Sabre said it was Š—“investigating an incident of unauthorized access to payment information contained in a subset of hotel reservations processed through our Hospitality Solutions SynXis Central Reservations system.Š—ťAccording to SabreŠ—Čs marketing literature, more than 32,000 properties use SabreŠ—Čs SynXis reservations system, described as anÎľinventory management Software-as-a-Service (SaaS) application that Š—“enables hoteliers to support a multitude of rate, inventory and distribution strategies to achieve their business goals.Š—ť",Krebs On Security,https://krebsonsecurity.com/2017/05/breach-at-sabre-corp-s-hospitality-unit/,,,,,,
672,INTU,5/11/17,Intuit,HACK,BSF,"San Diego, California",,0,,"""We are writing to notify you that, during a security review on [insert date], we determined that your TurboTax account may have been accessed by an unauthorized party.Îľ Promptly after discovering the issue, we conducted an investigation and tool steps to secure your accounts.Based on our investigation, it appears an unauthorized party may have accessed your account by using your username and password combination that was obtained from a non-Intuit source.Îľ The unauthorized access occurred [on/from] [date/date range]. By accessing your account, the unauthorized party may have obtained information contained in a prior year's tax return or your current tax return in progress, such as your name, Social Security number, address (es), date of birth, driver's license number and financial information (e.g., salary and deductions), and information of other individuals contained in the tax return.""",Vermont Attorney General,http://ago.vermont.gov/assets/files/Consumer/Security_Breach/Intuit-Turbo%20Tax%20SBN%20to%20Consumers.pdf,,,,,,
670,GCI,5/4/17,Gannett Co,HACK,BSO,"Tysons Corner, Virginia",,"18,000",,"""US newspaper and media giant Gannett Co has been targeted by a phishing attack that may have compromised the accounts of as many as 18,000 current and former employees.The group has already stressed that there is currently no indication that any sensitive personal data has been accessed as part of the phishing attack, although it will be offering credit monitoring to those affected.According to USA Today, which is owned by Gannett Co, the breach was discovered on March 30th when the perpetrator(s) attempted to use one of the compromised accounts for a fraudulent corporate wire transfer request.This was then identified as suspicious by the companyŠ—Čs finance team.Officials claim the data breach stemmed from a malicious email sent to the companyŠ—Čs human resources department.Gannett Co, which also owns another 109 media titles across the United States, is only the latest high-profile victim of a phishing scam, with the incident occurring in the same week as a similar attack on Gmail users.""",Media,https://www.welivesecurity.com/2017/05/04/gannett-co-data-breach-18000-employees-reportedly-affected/?utm_source=feedburner&utm_medium=email&utm_campaign=Feed%3A%20eset/blog%20%28ESET%20Blog%3A%20We%20Live%20Security%29,,,,,,
671,GOOGL,5/4/17,Google Docs,HACK,BSO,"Mountain View, California",,0,,"""Recently, many people received a phishing email from a mailinator.com address that was attached to a malicious Google doc. It seemed to be targeting journalists, as well as yours truly.Once the link is clicked, a user is directed to the Google login page, asking for a username and password.Except, the page is not as it seems. The page IS hosted (or was hosted) in GoogleŠ—Čs infrastructure of servers, and utilized SSL, making it appear that the user was logging into an actual Google associated web page. However, the credentials were handed over to a different server, coded in PHP.""",Media,https://www.welivesecurity.com/2017/05/04/teach-person-phishing/?utm_source=feedburner&utm_medium=email&utm_campaign=Feed%3A%20eset/blog%20%28ESET%20Blog%3A%20We%20Live%20Security%29,,,,,,
